NAME,QTY#,COST (CAD),SOURCE
PCB – 4 Layer 180mmx140mm JLCPCB,5,$70.00,JLCPCB
0.1uf 1206 SMD Capacitor,20,$3.00,MOUSER
SMD 1206 Diode,2,$1.50,MOUSER
EDGE CONN 24P,5,$6.35,ALIEXPRESS
EDGE CONN 20P,5,$5.71,ALIEXPRESS
1206 SMD 10K RES.,25,$3.50,MOUSER
RESISTOR NETWORK 10K,5,$2.50,MOUSER
W65C816S,2,$36.90,MOUSER
74HC08,2,$1.50,MOUSER
AS6C62256,2,$14.48,MOUSER
74HC373,2,$4.92,MOUSER
74HC245,9,$9.90,MOUSER
74HC74,2,$4.82,MOUSER
AT28C256,1,$17.72,MOUSER
R6551,1,OWNED,N/A
3.3V/5V Regulators,5,$2.00,MOUSER
74HC32,1,$1.95,MOUSER
74HC688,3,$6.51,MOUSER
74HC00,1,$2.18,MOUSER
74HC04,2,$4.00,MOUSER
74HC14,1,$2.50,MOUSER
74HC126,1,$2.32,MOUSER
74HC138,2,$5.64,MOUSER
74HC10,1,$2.20,MOUSER
1.8432MHZ,1,OWNED,N/A
1MHZ,1,$5.05,MOUSER
,,,
SHIPPING,1,$20.00,MOUSER
TOTAL,,$237.15,
